OBJECTID,OBJECTID,Onstreet,Atstreet,x,y,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x2,y2
49,25,Ashby Rd,Midland Blvd,851582.39459541,1045527.83125657,3,,N,25,760,Fri,Wed,0.125,PM,March,8340,8630,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{81366123-3AD6-4C9C-B90A-A953CA7FF4C1},851582.394595411,1045527.83125657
50,26,Ashby Rd,Midland Blvd,851538.99179508,1045246.58116291,8,219,S,26,1182,Fri,Fri,4:00,PM,August,12310,13177,2013,2013,,,HY4TCF,45275.9079513889,{A158E955-C76C-4CE0-9AEB-C6E5480FF0FC},851538.991795078,1045246.58116291
51,26,Ashby Rd,Midland Blvd,851582.39459541,1045527.83125657,3,219,S,26,970,Wedn,Wed,0.166666666666667,PM,March,11250,11790,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{C2B09ED2-6F86-4698-A88A-72DF293DAD4C},851582.394595411,1045527.83125657
52,27,Ashby Rd,Page Ave,851028.73526966,1040818.07820891,9, ,N,27,1013,Fri,Fri,4:00,PM,September,10730,11428,2013,2013,,,HY4TCF,45275.9079513889,{87DB16AD-3723-4069-BAC7-D216DA86FA60},851028.735269662,1040818.07820891
53,27,Ashby Rd,Page Ave,851011.37408391,1040666.16873582,4,,N,27,880,Fri,Tues,0.208333333333333,PM,April,10640,11070,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{38484646-DAF1-4460-BBF5-6E4A230B49E0},851011.374083914,1040666.16873582
54,28,Ashby Rd,Page Ave,851011.37408391,1040666.16873582,9,260,S,28,1214,Fri,Fri,12:00,PM,September,13060,13486,2013,2013,,,HY4TCF,45275.9079513889,{C84763ED-5884-453D-844C-A0873B6B7FEE},851011.374083914,1040666.16873582
55,28,Ashby Rd,Page Ave,851028.73526966,1040818.07820891,9,260,S,28,850,Tues,Tues,0.166666666666667,PM,September,9400,9570,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{7AB811CD-C367-4974-BF82-E638163272AC},851028.735269662,1040818.07820891
56,29,Ashby Rd,Warson Rd,850376.24674525,1037797.24533983,9, ,N,29,1115,Thu,Mon,4:00,PM,September,11800,11807,2013,2013,,,HY4TCF,45275.9079513889,{85501B3E-2C74-434C-AE32-5BBE2E17E3E3},850376.246745247,1037797.24533983
57,29,Ashby Rd,Warson Rd,850376.24674525,1037797.24533983,4,,N,29,760,Wedn,Tues,4:00,PM,April,8000,8370,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{CC4ACA95-BDC8-419E-9DCB-9E1B893E5319},850376.246745247,1037797.24533983
58,30,Aubuchon Rd,Missouri Bottom Rd,843458.8875485,1079245.42031732,9,122-C,E,30,2000,Fri,Tue,5:00,PM,September,12450,13647,2011,2011,,,HY4TCF,45275.9079513889,{E032184E-1966-45E4-8046-696F1C2E9688},843458.887548495,1079245.42031732
